track.name,track.artist,category,track.duration_ms
Stick Season,Noah Kahan,Pop,182346
Sweater Weather,The Neighbourhood,Pop,240400
Heather,Conan Gray,Pop,198040
Feather,Sabrina Carpenter,Pop,185552
we fell in love in october,girl in red,Pop,184153
Car's Outside,James Arthur,Pop,248373
SNAP,Rosa Linn,Pop,179551
Chemical,Post Malone,Pop,184013
golden hour,JVKE,Pop,209259
Late Night Talking,Harry Styles,Pop,177954
This Town,Niall Horan,Pop,232852
Back On 74,Jungle,Pop,209482
Got Me Started,Troye Sivan,Pop,198448
logical,Olivia Rodrigo,Pop,231907
Hell N Back,Bakar,Pop,213573
Satellite,Harry Styles,Pop,218577
"Everywhere, Everything (with Gracie Abrams)",Noah Kahan,Pop,257668
Forget Me,Lewis Capaldi,Pop,203666
Solo,Myles Smith,Pop,199756
ITALODISCO,The Kolors,Pop,199512
How Do I Say Goodbye,Dean Lewis,Pop,163603
Real Love Baby,Father John Misty,Pop,189293
Jaded,Miley Cyrus,Pop,185933
something to remember,Matt Hansen,Pop,162224
BLEED,The Kid LAROI,Pop,169990
Radio,Lana Del Rey,Pop,214586
Kiss Me,Dermot Kennedy,Pop,229436
My Home,Myles Smith,Pop,206250
Broken,Isak Danielson,Pop,216338
she's all i wanna be,Tate McRae,Pop,206772
Meltdown,Niall Horan,Pop,153037
LOVE AGAIN,The Kid LAROI,Pop,146640
Maybe My Soulmate Died,iamnotshane,Pop,114375
Living In A Haze,Milky Chance,Pop,173369
Where do we go now?,Gracie Abrams,Pop,243599
Part Of Me,Cian Ducrot,Pop,202193
people pleaser,Cat Burns,Pop,146654
The Roads,Jonah Kagen,Pop,250597
Blame Brett,The Beaches,Pop,176005
You Could Start A Cult (with Lizzy McAlpine),Niall Horan,Pop,194869
Ein Traum,Bosse,Pop,169500
What a Feeling,One Direction,Pop,200533
Anyone For You (Tiger Lily),George Ezra,Pop,187682
nie wieder normal,CRO,Pop,197618
Sunday,Dermot Kennedy,Pop,178746
Maybe October,Dekker,Pop,164195
June,BECKS,Pop,164840
All 4 Nothing (I'm So In Love),Lauv,Pop,183014
American Town,Ed Sheeran,Pop,197976
There It Goes,Maisie Peters,Pop,225266
Happy,Bukahara,Pop,207573
House On Fire,Mimi Webb,Pop,140803
Synchronize,Milky Chance,Pop,164576
Egoist,JEREMIAS,Pop,198448
Dive,Olivia Dean,Pop,200759
Somebody Like You,Giant Rooks,Pop,200266
20s,Bow Anderson,Pop,184457
More To This Life,Max Giesinger,Pop,200840
Wet Dream,Wet Leg,Pop,140083
Rimini,ENNIO,Pop,174546
Head on Fire,Griff,Pop,188645
Softly,Arlo Parks,Pop,188780
Looks Like Me,Dean Lewis,Pop,190527
Bedroom Exile,Giant Rooks,Pop,198970
Forget Somebody,Tom Gregory,Pop,163316
Ordinary Love,Roosevelt,Pop,263349
The Night We Met (feat. Phoebe Bridgers),Lord Huron,Pop,209081
Falling Asleep At The Wheel,Holly Humberstone,Pop,203247
It's Been a Little Heavy Lately,Joesef,Pop,221873
greedy,Tate McRae,Pop,131872
As It Was,Harry Styles,Pop,167303
Flowers,Miley Cyrus,Pop,200600
Houdini,Dua Lipa,Pop,185917
I Ain't Worried,OneRepublic,Pop,148485
Tattoo,Loreen,Pop,183374
Lil Boo Thang,Paul Russell,Pop,114233
SNAP,Rosa Linn,Pop,179551
Shivers,Ed Sheeran,Pop,207853
Single Soon,Selena Gomez,Pop,171655
Cold Heart - PNAU Remix,Elton John,Pop,202735
Baby Don't Hurt Me,David Guetta,Pop,140017
Gimme Love,Sia,Pop,177921
Bad Habits,Ed Sheeran,Pop,230746
On My Love,Zara Larsson,Pop,222911
Belly Dancer,Imanbek,Pop,151475
Forget Me,Lewis Capaldi,Pop,203666
ITALODISCO,The Kolors,Pop,199512
Can't Tame Her,Zara Larsson,Pop,196939
Is It Love,Loreen,Pop,143669
The Feeling,Lost Frequencies,Pop,153449
Acapulco,Jason Derulo,Pop,139672
Celestial,Ed Sheeran,Pop,209026
Gold,Loi,Pop,170370
Kiss Me,Dermot Kennedy,Pop,229436
